id,notification_number,issue_date,effective_date,issuing_authority,ministry,department,tax_type,document_type,category,title,subject,total_pages,status,metadata,created_at,updated_at
05a616cc-d87d-4aa3-ab11-157510235d45,16/2017 - Central Tax,2017-07-07,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Noti16,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-07-07"",""issuing_authority"":""CBIC"",""original_filename"":""Noti16_07Jul2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""3""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
1ae57393-d57a-4ee5-a903-779b57eaec9b,UNKNOWN-General-2017-08-24,2017-08-24,,CBIC,,,GST,Notification,General,Cgst Extension To Jammu And Kashmir Act 2017,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-08-24"",""issuing_authority"":""CBIC"",""original_filename"":""cgst-extension-to-jammu-and-kashmir-act_2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""notification_number extraction failed"",""category defaulted to General""],""referenced_sections"":[""1"",""109"",""22""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
1d97fdf8-ad9f-45a4-8165-461f8771b6f7,4/2017 - Central Tax,2017-06-19,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Notifying Gstgovin As Common Goods And Services Tax Electronics Portal,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-06-19"",""issuing_authority"":""CBIC"",""original_filename"":""Notifying_gstgovin_asCommonGoodsAndServicesTaxElectronicsPortal_19Jun2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""146"",""20"",""3"",""8""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
1e2eacb9-9336-4b2a-8c07-407efffe50e4,33/2017 - Central Tax,2017-09-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Section51 Tds 15sept2017,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-09-15"",""issuing_authority"":""CBIC"",""original_filename"":""Section51_TDS_15Sept2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""1"",""3"",""51""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
21ee521f-785d-41b2-8291-23b8aa65c604,UNKNOWN-General-2017-07-01,2017-07-01,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Corrigendum To Noti16,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-07-00"",""issuing_authority"":""CBIC"",""original_filename"":""CorrigendumToNoti16_10Jul2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""notification_number extraction failed"",""category defaulted to General""],""referenced_sections"":[""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
220e1e9b-67af-4c96-8f19-8d9229664a60,68/2017 - Central Tax,2017-12-21,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Form Gstr5,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-12-21"",""issuing_authority"":""CBIC"",""original_filename"":""Extend_Time_limit_formGSTR5_21Dec2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
2867b43e-7269-4fb7-8262-f75a1b58b426,62/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Limit Furnishing The Return Form Gstr6,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendLimit_furnishingTheReturn_FormGSTR6_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
30058b9a-389e-47ef-8e33-126d6499f55a,43/2017 - Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Filing Form Gstr6,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FilingFormGSTR6_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
30f52b46-a3d3-4f6d-8829-824c52dd804f,48/2017 - Central Tax,2017-10-18,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Notify Certain Supplies Deemed Exports Under Section147 Cgst,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-18"",""issuing_authority"":""CBIC"",""original_filename"":""NotifyCertainSuppliesDeemedExports_UnderSection147_CGST_18Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""147"",""3""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
34131fb6-cf9d-43fa-9d50-057709e2e63a,14/2017 - Central Tax,2017-07-01,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Assigning Jurisdiction&power To Officers,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-07-01"",""issuing_authority"":""CBIC"",""original_filename"":""AssigningJurisdiction&PowerToOfficers_01Jul2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""3"",""5""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
